Name,Tier,Class,Type,EXP Cost,Steam Cost,Aether Cost,Prerequisites,Multi Purchase,Description
Dabbler,Cultural Powers,,,5,,,2 purchases of Work Ethic,,"When performing Weapon Training, Feat Training, Spell Training, Health Training, or Toughness Training, you may make two choices as part of each BEA (but you may not choose the same option twice in the same BEA)."
Group Meditation,Cultural Powers,,,6,,,,,"If you are meditating within 10 feet of 2 other people who are also meditating, you each regain an additional +3 Aether at the end of your meditation. Meditation must be initiated at the same time. This skill may only be applied to a group once per meditation."
Group Rally,Cultural Powers,,,6,,,,,"If you are using rally within 10 feet of 2 other people who are also using rally, you each regain an additional +3 Steam at the end of your rally. Rally must be initiated at the same time for this to take effect. This skill may only be applied to a group once per rally."
Improved Meditation,Cultural Powers,,,6,,,,,"When meditating, regain 5 Aether."
Power Burst,Cultural Powers,,,4,,,,,5 times per period you can reduce your “Mediate” casting time to 1 minute. Click For Table of Contents
Quickened Rally,Cultural Powers,,,6,,,,,Rally now takes 3 minutes.
Second Wind,Cultural Powers,,,4,,,,,"3 times per period, you can reduce your “Rally” casting time to 30 seconds."
Seek Affinity,Cultural Powers,,,3,,,,,"You have learned to attract or seek out a certain element. When purchasing this skill, choose 1 Affinity. This skill allows you to gain Affinity points based on roleplay or situational circumstances determined by a marshal. A marshal will approach you and ask if you have “Seek Affinity” and a certain Affinity type. If you do, then they will grant you 1 Affinity point of that type.  This skill can be purchased multiple times to be used with different affinities."
Work Ethic,Cultural Powers,,,5,,,,1,You gain +1 BEA. Note that this does not give you additional Story BEAs.
Pool Increases,Cultural Powers,,,,,,,,
Aether Containment,Cultural Powers,,,2,,,,,You permanently gain +1 Aether per Purchase of this skill.
Building up Steam,Cultural Powers,,,2,,,,,You permanently gain +1 Steam per Purchase of this skill.
Vaea Connection,Cultural Powers,,,2,,,,,You permanently gain +2 Vaea per Purchase of this skill.
Destroy Affinity,Cultural Powers,,,4,,,,,"When purchasing this skill, choose 1 Affinity. Can only be used on an elemental creature in their Death Count. That element must be the opposite of the Affinity that you chose. You destroy a portion of their Affinity to gain 1 Affinity Point of your chosen type. This also counts as a Killing Blow and drops the elemental into Third Stage Death Count. This skill can be purchased multiple times to be used with different Affinities."
Blindfighting,Novice,COMBAT,Passives,5,,,Any Fighting Style and Knowledge: Tactics,,"You have combat awareness that allows you to fight without vision. If you get “Blind”, you may continue to fight using melee weapons. You cannot see anything but can still attack enemies within weapon’s distance of you."
Warrior’s Strength,Novice,COMBAT,Passives,5,,,,,You gain +1 Strength.
Leather Armor Use,Novice,COMBAT,Passives,3,,,,,"Allows you to wear leather armor. Wearing a half suit grants 2 Armor Rating, and a full suit grants 4 Armor rating."
Chain Armor Use,Novice,COMBAT,Passives,4,,,,,"Allows you to wear chainmail. Wearing a half suit grants 3 Armor Rating, and a full suit grants 6 Armor rating."
Plate Armor Use,Novice,COMBAT,Passives,5,,,,,"Allows you to wear plate armor. Wearing a half suit grants 4 Armor Rating, and a full suit grants 8 Armor rating."
Dual Pistol Style,Novice,COMBAT,Passives,4,,,Pistol style,,Allows you to use 1 pistol in each hand.
Long gun Style,Novice,COMBAT,Passives,5,,,,,Allows you to use a rifle or shotgun. Long guns do base 5 damage.
Marksman,Novice,COMBAT,Passives,4,,,,,"Allows you to use bows, crossbows, and thrown weapons. Bows and crossbows do a base of 4 damage. Small thrown weapons do a base of 1 damage. Large thrown weapons do a base of 2 damage. Extra-large thrown weapons do a base of 4 damage."
One Handed Style,Novice,COMBAT,Passives,3,,,,,Allows you to use small or 1 handed weapons in your main-hand. Small weapons do a base of 1 damage. One handed weapons do a base of 2 damage.
Pistol Style,Novice,COMBAT,Passives,3,,,,,Allows you to use a pistol. Pistols do a base of 3 damage.
Pugilist,Novice,COMBAT,Passives,4,,,,,Allows you to use small fists. May be used in combination with one handed style and shield style. Small fists do a base of 1 damage. Fist Weapons can be worn to allow the benefits of weapon properties to apply to fists.
Shield,Novice,COMBAT,Passives,3,,,,,"Allows you to use a shield. May be used in combination with pugilist style, one handed style/bastard weapons, or pistol style."
Staff,Novice,COMBAT,Passives,3,,,,,"Allows you to use a staff. A staff does a base of 2 damage. For the purposes of proficiencies, staff counts as a two handed weapon."
Sword and Pistol Style,Novice,COMBAT,Passives,5,,,One Handed Style & Pistol Style,,Allows you to use a 1 handed or small weapon with a pistol.
Two Handed Style,Novice,COMBAT,Passives,3,,,,,"Allows you to use 2 handed weapons. Two handed weapons do a base of 4 damage. If you have one handed Style, you can also use Bastard weapons. Bastard weapons can be used with 1 or 2 hands and can be used in any combination style that requires or is used with One Handed Style. Bastard weapons deal a base of 2 damage in 1 hand and 3 damage in two hands."
Two Weapon Fighting,Novice,COMBAT,Passives,4,,,One Handed Style,,Allows you to fight with a 1 handed or small weapon in each hand. Click For Table of Contents
Fighting Style / Weapon Proficiencies,Novice,COMBAT,Passives,,,,,,
Long Gun Proficiency,Novice,COMBAT,Passives,6,,,Long Gun Style,,You permanently do +1 damage with rifles and shotguns. Every other purchase of this prof grants +2 instead of +1.
One Handed Prof,Novice,COMBAT,Passives,5,,,One Handed Style,,"You permanently swing +1 damage with the small, 1 handed, or bastard weapon in your main hand."
Pistol Proficiency,Novice,COMBAT,Passives,6,,,Pistol Style,,You permanently do +1 damage with pistols. Applies to one or both hands.
Pugilist Proficiency,Novice,COMBAT,Passives,6,,,Pugilist Style,,You permanently swing +1 damage with both of your fists.
